participant_id,group,from,to,time_ms,from_category,to_category,from_fallacy_type,to_fallacy_type,from_element_type,to_element_type
participant_1773700277754,treatment,0-news-sentence-2,(none),19,article_text,other,,,sentence,other
participant_1773700277754,treatment,(none),3-news-sentence-1,27,other,article_text,,BBS,other,sentence
participant_1773700277754,treatment,3-news-sentence-1,5-news-sentence-1,35,article_text,article_text,BBS,BBS,sentence,sentence
participant_1773700277754,treatment,5-news-sentence-1,0-news-sentence-2,60,article_text,article_text,BBS,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-2,6-news-sentence-1,62,article_text,article_text,,BBS,sentence,sentence
participant_1773700277754,treatment,6-news-sentence-1,1-news-sentence-2,97,article_text,article_text,BBS,,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-2,(none),126,article_text,other,,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-2,32,other,article_text,,,other,sentence
participant_1773700277754,treatment,1-news-sentence-2,6-news-sentence-1,32,article_text,article_text,,BBS,sentence,sentence
participant_1773700277754,treatment,6-news-sentence-1,4-news-sentence-1,31,article_text,article_text,BBS,BBS,sentence,sentence
participant_1773700277754,treatment,4-news-sentence-1,2-news-sentence-1,32,article_text,article_text,BBS,BBS,sentence,sentence
participant_1773700277754,treatment,2-news-sentence-1,5-news-sentence-1,56,article_text,article_text,BBS,BBS,sentence,sentence
participant_1773700277754,treatment,5-news-sentence-1,(none),33,article_text,other,BBS,,sentence,other
participant_1773700277754,treatment,(none),0-news-sentence-0,409,other,article_text,,,other,sentence
participant_1773700277754,treatment,0-news-sentence-0,1-news-sentence-0,29,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-0,128,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-0,1-news-sentence-0,59,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-1,94,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-1,1-news-sentence-0,250,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-0,31,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-0,(none),32,article_text,other,,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-1,29,other,article_text,,BBS,other,sentence
participant_1773700277754,treatment,1-news-sentence-1,1-news-sentence-0,31,article_text,article_text,BBS,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,(none),33,article_text,other,WW,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-0,29,other,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,(none),94,article_text,other,WW,,sentence,other
participant_1773700277754,treatment,(none),0-news-sentence-1,32,other,article_text,,,other,sentence
participant_1773700277754,treatment,0-news-sentence-1,1-news-sentence-0,33,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-1,61,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-1,1-news-sentence-0,33,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,(none),96,article_text,other,WW,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-1,30,other,article_text,,BBS,other,sentence
participant_1773700277754,treatment,1-news-sentence-1,(none),31,article_text,other,BBS,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-1,33,other,article_text,,BBS,other,sentence
participant_1773700277754,treatment,1-news-sentence-1,news-content-1,92,article_text,paragraph,BBS,,sentence,other
participant_1773700277754,treatment,news-content-1,0-news-sentence-1,30,paragraph,article_text,,,other,sentence
participant_1773700277754,treatment,0-news-sentence-1,1-news-sentence-1,31,article_text,article_text,,BBS,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-1,(none),32,article_text,other,BBS,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-0,30,other,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-0,65,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-0,1-news-sentence-0,61,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-0,35,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-0,1-news-sentence-0,28,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-0,31,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-0,0-news-sentence-1,32,article_text,article_text,,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-1,1-news-sentence-0,31,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-0,155,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-0,0-news-sentence-2,61,article_text,article_text,,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-2,(none),33,article_text,other,,,sentence,other
participant_1773700277754,treatment,(none),title,750,other,title,,,other,other
participant_1773700277754,treatment,title,(none),93,title,other,,,other,other
participant_1773700277754,treatment,(none),0-news-sentence-0,236,other,article_text,,,other,sentence
participant_1773700277754,treatment,0-news-sentence-0,1-news-sentence-0,31,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,news-content-0,32,article_text,paragraph,WW,,sentence,other
participant_1773700277754,treatment,news-content-0,1-news-sentence-0,32,paragraph,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,(none),30,article_text,other,WW,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-0,63,other,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,news-content-1,30,article_text,paragraph,WW,,sentence,other
participant_1773700277754,treatment,news-content-1,(none),32,paragraph,other,,,other,other
participant_1773700277754,treatment,(none),news-content-0,31,other,paragraph,,,other,other
participant_1773700277754,treatment,news-content-0,(none),31,paragraph,other,,,other,other
participant_1773700277754,treatment,(none),1-news-sentence-0,32,other,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,news-content-0,32,article_text,paragraph,WW,,sentence,other
participant_1773700277754,treatment,news-content-0,1-news-sentence-0,46,paragraph,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,(none),108,article_text,other,WW,,sentence,other
participant_1773700277754,treatment,(none),0-news-sentence-0,33,other,article_text,,,other,sentence
participant_1773700277754,treatment,0-news-sentence-0,(none),30,article_text,other,,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-0,32,other,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,(none),95,article_text,other,WW,,sentence,other
participant_1773700277754,treatment,(none),0-news-sentence-1,64,other,article_text,,,other,sentence
participant_1773700277754,treatment,0-news-sentence-1,1-news-sentence-0,60,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,news-content-0,123,article_text,paragraph,WW,,sentence,other
participant_1773700277754,treatment,news-content-0,(none),31,paragraph,other,,,other,other
participant_1773700277754,treatment,(none),1-news-sentence-0,64,other,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-0,64,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-0,1-news-sentence-0,29,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,(none),190,article_text,other,WW,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-0,85,other,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-0,72,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-0,(none),30,article_text,other,,,sentence,other
participant_1773700277754,treatment,(none),0-news-sentence-0,63,other,article_text,,,other,sentence
participant_1773700277754,treatment,0-news-sentence-0,1-news-sentence-0,31,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,(none),32,article_text,other,WW,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-0,62,other,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-0,32,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-0,(none),33,article_text,other,,,sentence,other
participant_1773700277754,treatment,(none),title,29,other,title,,,other,other
participant_1773700277754,treatment,title,(none),32,title,other,,,other,other
participant_1773700277754,treatment,(none),0-news-sentence-0,599,other,article_text,,,other,sentence
participant_1773700277754,treatment,0-news-sentence-0,(none),30,article_text,other,,,sentence,other
participant_1773700277754,treatment,(none),title,63,other,title,,,other,other
participant_1773700277754,treatment,title,(none),30,title,other,,,other,other
participant_1773700277754,treatment,(none),0-news-sentence-0,32,other,article_text,,,other,sentence
participant_1773700277754,treatment,0-news-sentence-0,1-news-sentence-0,32,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-0,30,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-0,(none),63,article_text,other,,,sentence,other
participant_1773700277754,treatment,(none),0-news-sentence-0,30,other,article_text,,,other,sentence
participant_1773700277754,treatment,0-news-sentence-0,news-content-0,32,article_text,paragraph,,,sentence,other
participant_1773700277754,treatment,news-content-0,0-news-sentence-0,33,paragraph,article_text,,,other,sentence
participant_1773700277754,treatment,0-news-sentence-0,(none),30,article_text,other,,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-0,94,other,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,(none),31,article_text,other,WW,,sentence,other
participant_1773700277754,treatment,(none),0-news-sentence-1,33,other,article_text,,,other,sentence
participant_1773700277754,treatment,0-news-sentence-1,0-news-sentence-0,30,article_text,article_text,,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-0,title,32,article_text,title,,,sentence,other
participant_1773700277754,treatment,title,(none),32,title,other,,,other,other
participant_1773700277754,treatment,(none),0-news-sentence-0,63,other,article_text,,,other,sentence
participant_1773700277754,treatment,0-news-sentence-0,(none),33,article_text,other,,,sentence,other
participant_1773700277754,treatment,(none),news-content-0,30,other,paragraph,,,other,other
participant_1773700277754,treatment,news-content-0,0-news-sentence-0,33,paragraph,article_text,,,other,sentence
participant_1773700277754,treatment,0-news-sentence-0,(none),33,article_text,other,,,sentence,other
participant_1773700277754,treatment,(none),0-news-sentence-0,93,other,article_text,,,other,sentence
participant_1773700277754,treatment,0-news-sentence-0,1-news-sentence-0,32,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,(none),94,article_text,other,WW,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-0,31,other,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,(none),33,article_text,other,WW,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-1,286,other,article_text,,BBS,other,sentence
participant_1773700277754,treatment,1-news-sentence-1,1-news-sentence-0,30,article_text,article_text,BBS,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,news-content-0,93,article_text,paragraph,WW,,sentence,other
participant_1773700277754,treatment,news-content-0,0-news-sentence-0,96,paragraph,article_text,,,other,sentence
participant_1773700277754,treatment,0-news-sentence-0,(none),30,article_text,other,,,sentence,other
participant_1773700277754,treatment,(none),0-news-sentence-1,63,other,article_text,,,other,sentence
participant_1773700277754,treatment,0-news-sentence-1,1-news-sentence-0,31,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,(none),64,article_text,other,WW,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-0,30,other,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-0,31,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-0,(none),34,article_text,other,,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-0,61,other,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,(none),95,article_text,other,WW,,sentence,other
participant_1773700277754,treatment,(none),0-news-sentence-0,31,other,article_text,,,other,sentence
participant_1773700277754,treatment,0-news-sentence-0,1-news-sentence-0,30,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-0,95,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-0,(none),30,article_text,other,,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-0,190,other,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-0,32,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-0,1-news-sentence-0,63,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-1,32,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-1,1-news-sentence-0,30,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-0,94,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-0,1-news-sentence-0,32,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,2-news-sentence-1,32,article_text,article_text,WW,BBS,sentence,sentence
participant_1773700277754,treatment,2-news-sentence-1,1-news-sentence-1,31,article_text,article_text,BBS,BBS,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-1,2-news-sentence-1,32,article_text,article_text,BBS,BBS,sentence,sentence
participant_1773700277754,treatment,2-news-sentence-1,1-news-sentence-1,33,article_text,article_text,BBS,BBS,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-1,0-news-sentence-1,31,article_text,article_text,BBS,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-1,1-news-sentence-0,31,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,(none),51,article_text,other,WW,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-0,13,other,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-0,32,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-0,(none),44,article_text,other,,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-0,60,other,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,1-news-sentence-1,36,article_text,article_text,WW,BBS,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-1,3-news-sentence-1,47,article_text,article_text,BBS,BBS,sentence,sentence
participant_1773700277754,treatment,3-news-sentence-1,(none),27,article_text,other,BBS,,sentence,other
participant_1773700277754,treatment,(none),news-content-0,29,other,paragraph,,,other,other
participant_1773700277754,treatment,news-content-0,1-news-sentence-0,30,paragraph,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,news-content-0,32,article_text,paragraph,WW,,sentence,other
participant_1773700277754,treatment,news-content-0,1-news-sentence-1,31,paragraph,article_text,,BBS,other,sentence
participant_1773700277754,treatment,1-news-sentence-1,news-content-1,63,article_text,paragraph,BBS,,sentence,other
participant_1773700277754,treatment,news-content-1,(none),30,paragraph,other,,,other,other
participant_1773700277754,treatment,(none),scrollableDiv,125,other,other,,,other,other
participant_1773700277754,treatment,scrollableDiv,(none),32,other,other,,,other,other
participant_1773700277754,treatment,(none),scrollableDiv,2435,other,other,,,other,other
participant_1773700277754,treatment,scrollableDiv,(none),30,other,other,,,other,other
participant_1773700277754,treatment,(none),scrollableDiv,64,other,other,,,other,other
participant_1773700277754,treatment,scrollableDiv,(none),61,other,other,,,other,other
participant_1773700277754,treatment,(none),scrollableDiv,33,other,other,,,other,other
participant_1773700277754,treatment,scrollableDiv,(none),31,other,other,,,other,other
participant_1773700277754,treatment,(none),scrollableDiv,31,other,other,,,other,other
participant_1773700277754,treatment,scrollableDiv,(none),32,other,other,,,other,other
participant_1773700277754,treatment,(none),scrollableDiv,33,other,other,,,other,other
participant_1773700277754,treatment,scrollableDiv,(none),62,other,other,,,other,other
participant_1773700277754,treatment,(none),scrollableDiv,33,other,other,,,other,other
participant_1773700277754,treatment,scrollableDiv,(none),31,other,other,,,other,other
participant_1773700277754,treatment,(none),1-news-sentence-1,2178,other,article_text,,BBS,other,sentence
participant_1773700277754,treatment,1-news-sentence-1,(none),61,article_text,other,BBS,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-1,62,other,article_text,,BBS,other,sentence
participant_1773700277754,treatment,1-news-sentence-1,1-news-sentence-0,94,article_text,article_text,BBS,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,(none),94,article_text,other,WW,,sentence,other
participant_1773700277754,treatment,(none),0-news-sentence-0,94,other,article_text,,,other,sentence
participant_1773700277754,treatment,0-news-sentence-0,(none),31,article_text,other,,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-0,32,other,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-0,30,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-0,0-news-sentence-1,65,article_text,article_text,,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-1,1-news-sentence-0,29,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-0,62,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-0,1-news-sentence-0,31,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-1,64,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-1,(none),343,article_text,other,,,sentence,other
participant_1773700277754,treatment,(none),scrollableDiv,12160,other,other,,,other,other
participant_1773700277754,treatment,scrollableDiv,(none),30,other,other,,,other,other
participant_1773700277754,treatment,(none),scrollableDiv,1559,other,other,,,other,other
participant_1773700277754,treatment,scrollableDiv,(none),31,other,other,,,other,other
participant_1773700277754,treatment,(none),scrollableDiv,1176,other,other,,,other,other
participant_1773700277754,treatment,scrollableDiv,(none),31,other,other,,,other,other
participant_1773700277754,treatment,(none),scrollableDiv,64,other,other,,,other,other
participant_1773700277754,treatment,scrollableDiv,(none),30,other,other,,,other,other
participant_1773700277754,treatment,(none),2-news-sentence-1,279,other,article_text,,BBS,other,sentence
participant_1773700277754,treatment,2-news-sentence-1,0-news-sentence-1,63,article_text,article_text,BBS,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-1,1-news-sentence-0,32,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-1,32,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-1,1-news-sentence-0,29,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,(none),33,article_text,other,WW,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-0,32,other,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,news-content-0,125,article_text,paragraph,WW,,sentence,other
participant_1773700277754,treatment,news-content-0,1-news-sentence-0,33,paragraph,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-0,31,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-0,1-news-sentence-0,28,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-1,32,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-1,1-news-sentence-0,63,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-1,31,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-1,news-content-0,32,article_text,paragraph,,,sentence,other
participant_1773700277754,treatment,news-content-0,0-news-sentence-1,30,paragraph,article_text,,,other,sentence
participant_1773700277754,treatment,0-news-sentence-1,(none),33,article_text,other,,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-0,31,other,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-1,30,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-1,1-news-sentence-1,32,article_text,article_text,,BBS,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-1,0-news-sentence-1,31,article_text,article_text,BBS,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-1,news-content-0,30,article_text,paragraph,,,sentence,other
participant_1773700277754,treatment,news-content-0,1-news-sentence-0,43,paragraph,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,(none),20,article_text,other,WW,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-1,30,other,article_text,,BBS,other,sentence
participant_1773700277754,treatment,1-news-sentence-1,1-news-sentence-0,31,article_text,article_text,BBS,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,news-content-0,63,article_text,paragraph,WW,,sentence,other
participant_1773700277754,treatment,news-content-0,1-news-sentence-0,31,paragraph,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,news-content-0,33,article_text,paragraph,WW,,sentence,other
participant_1773700277754,treatment,news-content-0,(none),31,paragraph,other,,,other,other
participant_1773700277754,treatment,(none),0-news-sentence-1,30,other,article_text,,,other,sentence
participant_1773700277754,treatment,0-news-sentence-1,0-news-sentence-0,62,article_text,article_text,,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-0,1-news-sentence-0,32,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-1,60,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-1,(none),64,article_text,other,,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-0,30,other,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-1,31,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-1,1-news-sentence-1,63,article_text,article_text,,BBS,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-1,1-news-sentence-0,31,article_text,article_text,BBS,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,(none),63,article_text,other,WW,,sentence,other
participant_1773700277754,treatment,(none),1-news-sentence-0,63,other,article_text,,WW,other,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-1,185,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-1,(none),54,article_text,other,,,sentence,other
participant_1773700277754,treatment,(none),0-news-sentence-1,7,other,article_text,,,other,sentence
participant_1773700277754,treatment,0-news-sentence-1,1-news-sentence-0,32,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-0,30,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-0,1-news-sentence-0,79,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,0-news-sentence-1,21,article_text,article_text,WW,,sentence,sentence
participant_1773700277754,treatment,0-news-sentence-1,1-news-sentence-0,30,article_text,article_text,,WW,sentence,sentence
participant_1773700277754,treatment,1-news-sentence-0,(none),184,article_text,other,WW,,sentence,other
